"fp","target","rank","repeat"
"rf_rdk7","466","1","1"
"rf_rdk7","466","1","2"
"rf_rdk7","466","1","3"
"rf_rdk7","466","1","4"
"rf_rdk7","466","1","5"
"rf_rdk7","466","1","6"
"rf_rdk7","466","1","7"
"rf_rdk7","466","1","8"
"rf_rdk7","466","1","9"
"rf_rdk7","466","1","10"
"rf_rdk7","466","1","11"
"rf_rdk7","466","1","12"
"rf_rdk7","466","1","13"
"rf_rdk7","466","1","14"
"rf_rdk7","466","1","15"
"rf_rdk7","466","1","16"
"rf_rdk7","466","1","17"
"rf_rdk7","466","1","18"
"rf_rdk7","466","1","19"
"rf_rdk7","466","1","20"
"rf_rdk7","466","1","21"
"rf_rdk7","466","1","22"
"rf_rdk7","466","1","23"
"rf_rdk7","466","1","24"
"rf_rdk7","466","1","25"
"rf_rdk7","466","1","26"
"rf_rdk7","466","1","27"
"rf_rdk7","466","1","28"
"rf_rdk7","466","1","29"
"rf_rdk7","466","1","30"
"rf_rdk7","466","1","31"
"rf_rdk7","466","1","32"
"rf_rdk7","466","1","33"
"rf_rdk7","466","1","34"
"rf_rdk7","466","1","35"
"rf_rdk7","466","1","36"
"rf_rdk7","466","1","37"
"rf_rdk7","466","1","38"
"rf_rdk7","466","1","39"
"rf_rdk7","466","1","40"
"rf_rdk7","466","1","41"
"rf_rdk7","466","1","42"
"rf_rdk7","466","1","43"
"rf_rdk7","466","1","44"
"rf_rdk7","466","1","45"
"rf_rdk7","466","1","46"
"rf_rdk7","466","1","47"
"rf_rdk7","466","1","48"
"rf_rdk7","466","1","49"
"rf_rdk7","466","1","50"
"rf_rdk7","548","1","1"
"rf_rdk7","548","1","2"
"rf_rdk7","548","1","3"
"rf_rdk7","548","1","4"
"rf_rdk7","548","1","5"
"rf_rdk7","548","1","6"
"rf_rdk7","548","1","7"
"rf_rdk7","548","1","8"
"rf_rdk7","548","1","9"
"rf_rdk7","548","1","10"
"rf_rdk7","548","1","11"
"rf_rdk7","548","1","12"
"rf_rdk7","548","1","13"
"rf_rdk7","548","1","14"
"rf_rdk7","548","1","15"
"rf_rdk7","548","1","16"
"rf_rdk7","548","1","17"
"rf_rdk7","548","1","18"
"rf_rdk7","548","1","19"
"rf_rdk7","548","1","20"
"rf_rdk7","548","1","21"
