# _Name	ID	SMILES
CHEMBL291273	ChEMBL_8_A_1	CCOCCNc1nc(SC)nc2c1cnn2CC(Cl)c1ccccc1
CHEMBL608533	ChEMBL_8_A_2	COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
CHEMBL221959	ChEMBL_8_A_3	CC1CCN(C(=O)CC#N)CC1N(C)c1ncnc2[nH]ccc21
CHEMBL230011	ChEMBL_8_A_4	Nc1nc(N)c2nc(-c3cccc(O)c3)c(-c3cccc(O)c3)nc2n1
CHEMBL535	ChEMBL_8_A_5	CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C
CHEMBL1784639	ChEMBL_8_A_6	Cc1ccc(C(=O)Nc2ccc(CN3CCN(CC(=O)O)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc(C(N)=O)n1C
CHEMBL378299	ChEMBL_8_A_7	c1ccc2c(c1)n[nH]c2-c1nc2cc(N3CCC(N4CCCCC4)CC3)ccc2[nH]1
CHEMBL209617	ChEMBL_8_A_8	O=C1NN(c2ccc(I)cc2)C(=O)C1=Cc1ccccc1
CHEMBL1908396	ChEMBL_8_A_9	COc1cc(Oc2ccnc3cc(OC)c(OC)cc32)ccc1NC(=O)NC(C)c1nccs1
CHEMBL428690	ChEMBL_8_A_10	CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc32)C(O)C1
CHEMBL1171960	ChEMBL_8_A_11	N#Cc1c(N)nc(SCC(=O)c2ccccc2)c(C#N)c1-c1ccsc1
CHEMBL558752	ChEMBL_8_A_12	Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21
CHEMBL288441	ChEMBL_8_A_13	COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc32)c(Cl)cc1Cl
CHEMBL277931	ChEMBL_8_A_14	O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccccc1
CHEMBL404666	ChEMBL_8_A_15	CC(C)(C)N1CN(c2ccc(Cl)cc2)C(N)=C2C=NN=C21
CHEMBL1169876	ChEMBL_8_A_16	Cc1ccc(C(=O)Nc2cc(C(F)(F)F)on2)cc1C=Cn1cnc2c1ncnc2NC1CC1
CHEMBL450786	ChEMBL_8_A_17	Cc1[nH]c(C=C2C(=O)Nc3ccc(S(=O)(=O)Cc4c(Cl)cccc4Cl)cc32)c(C)c1C(=O)N1CCCC1CN1CCCC1
CHEMBL191003	ChEMBL_8_A_18	Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F
CHEMBL215152	ChEMBL_8_A_19	CCN(CCO)CCCOc1ccc2c(c1)ncnc2Nc1cc(CC(=O)Nc2cccc(F)c2)[nH]n1
CHEMBL1908393	ChEMBL_8_A_20	COc1cc2c(cc1OCCCN1CCOCC1)nccc2Oc1ccc(NC(=O)C2(C(=O)NC3=CCC(F)C=C3)CC2)cc1F
CHEMBL513909	ChEMBL_8_A_21	CCC1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1
CHEMBL1775041	ChEMBL_8_A_22	Clc1cccc(Nc2nc(N3CCOCC3)nc3c2cnn3CC(Cl)c2ccccc2)c1
CHEMBL377300	ChEMBL_8_A_23	Cc1cc2c(ccc(Oc3ncnn4cc(OCC(C)O)c(C)c34)c2F)[nH]1
CHEMBL1336	ChEMBL_8_A_24	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
CHEMBL207471	ChEMBL_8_A_25	Nc1[nH]cnc2nnc(-c3ccc(Cl)cc3)c1-2
CHEMBL1908397	ChEMBL_8_A_26	O=C(c1ccc(C=Cc2n[nH]c3ccccc23)cc1)N1CCNCC1
CHEMBL1789941	ChEMBL_8_A_27	N#CCC(C1CCCC1)n1cc(-c2ncnc3[nH]ccc32)cn1
CHEMBL402548	ChEMBL_8_A_28	COC(C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1
CHEMBL119385	ChEMBL_8_A_29	O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl
CHEMBL601719	ChEMBL_8_A_30	CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl
CHEMBL607707	ChEMBL_8_A_31	CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C
CHEMBL538337	ChEMBL_8_A_32	Cc1ccc(NC(O)c2ccc(CN3CCC(CN(C)C)C3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cncnc2)n1
CHEMBL207986	ChEMBL_8_A_33	O=C(Nc1nnc(CCc2ccccc2)s1)c1ccccc1I
CHEMBL525191	ChEMBL_8_A_34	OCCn1cc(-c2ccc3c(c2)CCC3=NO)c(-c2ccncc2)n1
